Orthogroup	Bombus_affinis.prot.fa.largestIsoform	Bombus_bifarius.prot.fa.largestIsoform	Bombus_pyrosoma.prot.fa.largestIsoform	Bombus_terrestris.prot.fa.largestIsoform	amellifera_eg_gene	dmelanogaster_eg_gene
OG0000674						FBgn0003863, FBgn0010357, FBgn0010358, FBgn0010359, FBgn0010425, FBgn0015001, FBgn0019928, FBgn0050025, FBgn0050031
OG0000675						FBgn0052264, FBgn0052264, FBgn0052264, FBgn0052264, FBgn0052264, FBgn0052264, FBgn0052264, FBgn0052264, FBgn0052264
OG0000676						FBgn0262527, FBgn0262527, FBgn0262527, FBgn0262527, FBgn0262527, FBgn0262527, FBgn0262527, FBgn0262527, FBgn0262527
OG0000677						FBgn0031058, FBgn0050287, FBgn0050288, FBgn0050289, FBgn0050414, FBgn0053225, FBgn0053225, FBgn0069056, FBgn0260477
OG0000678						FBgn0010905, FBgn0010905, FBgn0010905, FBgn0010905, FBgn0010905, FBgn0010905, FBgn0010905, FBgn0010905, FBgn0010905
OG0000679						FBgn0086915, FBgn0267411, FBgn0267412, FBgn0267413, FBgn0267417, FBgn0267490, FBgn0267491, FBgn0267492, FBgn0267493
OG0000680						FBgn0035070, FBgn0037036, FBgn0037038, FBgn0037039, FBgn0037039, FBgn0037039, FBgn0052271, FBgn0083965, FBgn0083966
OG0000681						FBgn0025702, FBgn0025702, FBgn0025702, FBgn0025702, FBgn0025702, FBgn0025702, FBgn0025702, FBgn0025702, FBgn0025702
OG0000682						FBgn0086906, FBgn0086906, FBgn0086906, FBgn0086906, FBgn0086906, FBgn0086906, FBgn0086906, FBgn0086906, FBgn0086906
OG0000683						FBgn0001316, FBgn0001316, FBgn0001316, FBgn0001316, FBgn0001316, FBgn0001316, FBgn0001316, FBgn0001316, FBgn0001316
OG0000684						FBgn0263873, FBgn0263873, FBgn0263873, FBgn0263873, FBgn0263873, FBgn0263873, FBgn0263873, FBgn0263873, FBgn0263873
OG0000685						FBgn0027608, FBgn0027608, FBgn0027608, FBgn0027608, FBgn0027608, FBgn0027608, FBgn0027608, FBgn0027608, FBgn0027608
OG0000686						FBgn0031802, FBgn0031803, FBgn0039675, FBgn0039675, FBgn0039676, FBgn0039676, FBgn0039676, FBgn0039677, FBgn0039679
OG0000687						FBgn0259176, FBgn0259176, FBgn0259176, FBgn0259176, FBgn0259176, FBgn0259176, FBgn0259176, FBgn0259176, FBgn0259176
OG0000688						FBgn0066101, FBgn0066101, FBgn0066101, FBgn0066101, FBgn0066101, FBgn0066101, FBgn0066101, FBgn0066101, FBgn0066101
OG0000689						FBgn0027596, FBgn0027596, FBgn0027596, FBgn0027596, FBgn0027596, FBgn0027596, FBgn0027596, FBgn0027596, FBgn0027596
OG0000690						FBgn0052062, FBgn0052062, FBgn0052062, FBgn0052062, FBgn0052062, FBgn0052062, FBgn0052062, FBgn0052062, FBgn0052062
OG0000691						FBgn0264087, FBgn0264087, FBgn0264087, FBgn0264087, FBgn0264087, FBgn0264087, FBgn0264087, FBgn0264087, FBgn0264087
OG0000692						FBgn0263102, FBgn0263102, FBgn0263102, FBgn0263102, FBgn0263102, FBgn0263102, FBgn0263102, FBgn0263102, FBgn0263102
OG0000693						FBgn0050460, FBgn0050460, FBgn0050460, FBgn0050460, FBgn0050460, FBgn0050460, FBgn0050460, FBgn0050460, FBgn0050460
OG0000694						FBgn0259163, FBgn0259163, FBgn0259163, FBgn0259163, FBgn0259163, FBgn0259163, FBgn0259163, FBgn0259163, FBgn0259163
OG0000695						FBgn0261570, FBgn0261570, FBgn0261570, FBgn0261570, FBgn0261570, FBgn0261570, FBgn0261570, FBgn0261570, FBgn0261570
OG0000696						FBgn0262483, FBgn0262483, FBgn0262483, FBgn0262483, FBgn0262483, FBgn0262483, FBgn0262483, FBgn0262483, FBgn0262483
OG0000697						FBgn0003475, FBgn0003475, FBgn0003475, FBgn0003475, FBgn0003475, FBgn0003475, FBgn0003475, FBgn0003475, FBgn0003475
OG0000698	LOC126918689	LOC117210160	LOC122568943	LOC100647903		FBgn0035060, FBgn0035060, FBgn0035060, FBgn0035060
OG0000699	LOC126916482	LOC117210237	LOC122568899	LOC100643935		FBgn0261641, FBgn0261641, FBgn0261641, FBgn0261641
OG0000700	LOC126919731	LOC117210307	LOC122569343	LOC100648054		FBgn0027587, FBgn0027587, FBgn0027587, FBgn0027587
OG0000701	LOC126914161, LOC126914759	LOC117210110, LOC117213315	LOC122569053, LOC122569092	LOC100647100, LOC100647220		
OG0000702	LOC126925934	LOC117209715	LOC122569377	LOC100645913		FBgn0004619, FBgn0264000, FBgn0264000, FBgn0264000
OG0000703	LOC126915250	LOC117211241	LOC122569783	LOC100651250		FBgn0035101, FBgn0035101, FBgn0035101, FBgn0035101
OG0000704	LOC126920912	LOC117212755	LOC122568983	LOC100646260		FBgn0033906, FBgn0033906, FBgn0033906, FBgn0039371
OG0000705	LOC126919906	LOC117204583	LOC122569842	LOC100651955		FBgn0035802, FBgn0035802, FBgn0035802, FBgn0035802
OG0000706	LOC126920012, LOC126920016, LOC126920072	LOC117204537	LOC122569591, LOC122569593, LOC122569595	LOC105665627		
OG0000707	LOC126919889	LOC117204452	LOC122569287	LOC100650079, LOC125385470		FBgn0085408, FBgn0085408, FBgn0085408
OG0000708	LOC126918014	LOC117204525	LOC122569560	LOC100644761		FBgn0020386, FBgn0020386, FBgn0020386, FBgn0020386
OG0000709	LOC126916941	LOC117204421	LOC122569222	LOC100642637		FBgn0002121, FBgn0002121, FBgn0002121, FBgn0002121
OG0000710	LOC126919670	LOC117204572	LOC122569163	LOC100650885		FBgn0015558, FBgn0015558, FBgn0015558, FBgn0015558
OG0000711	LOC126914126	LOC117204487	LOC122569190	LOC100646783		FBgn0286813, FBgn0286813, FBgn0286813, FBgn0286813
OG0000712	LOC126929000	LOC117211665	LOC122569804	LOC100651081		FBgn0042177, FBgn0042177, FBgn0042178, FBgn0042178
OG0000713	LOC126928677	LOC117211673	LOC122569673	LOC100651921		FBgn0010114, FBgn0010114, FBgn0010114, FBgn0010114
OG0000714	LOC126922250	LOC117207677	LOC122569398	LOC100645196		FBgn0004870, FBgn0004870, FBgn0004870, FBgn0004870
OG0000715	LOC126922342	LOC117207716	LOC122569399	LOC100645325		FBgn0050021, FBgn0050021, FBgn0050021, FBgn0050021
OG0000716	LOC126918641	LOC117208963	LOC122569030, LOC122569031	LOC100648977		FBgn0039859, FBgn0040805, FBgn0040805
OG0000717	LOC126919158	LOC117209104	LOC122569239	LOC100649770		FBgn0010762, FBgn0010762, FBgn0010762, FBgn0010762
OG0000718	LOC126914339	LOC117209098	LOC122569419	LOC100650685		FBgn0263706, FBgn0263706, FBgn0263706, FBgn0263706
OG0000719	LOC126917668	LOC117215700	LOC122568874	LOC100644559		FBgn0030617, FBgn0030617, FBgn0030617, FBgn0030617
OG0000720	LOC126917411	LOC117212824	LOC122569018	LOC100649009		FBgn0026239, FBgn0026239, FBgn0026239, FBgn0026239
OG0000721	LOC126923852	LOC117212943	LOC122571580	LOC100648870		FBgn0011725, FBgn0011725, FBgn0011725, FBgn0011725
OG0000722	LOC126923728	LOC117214528	LOC122571859	LOC100651533		FBgn0034180, FBgn0034180, FBgn0034180, FBgn0034180
OG0000723	LOC126929012	LOC117207312	LOC122565749	LOC100652299, LOC105666191, LOC105667060, LOC125384651		FBgn0026196
OG0000724	LOC126913787	LOC117214936	LOC122571468	LOC100650912		FBgn0263396, FBgn0263396, FBgn0263396, FBgn0263396
OG0000725	LOC126928709	LOC117212384	LOC122571844	LOC100644530		FBgn0085370, FBgn0085370, FBgn0085370, FBgn0085370
OG0000726	LOC126913896	LOC117205144	LOC122572127	LOC100642218		FBgn0031589, FBgn0031589, FBgn0031589, FBgn0031589
OG0000727	LOC126916812, LOC126928902	LOC117205245, LOC117207247	LOC122572096, LOC122577991	LOC100646047, LOC100649098		
OG0000728	LOC126924780, LOC126928957	LOC117212744, LOC117214460	LOC122570127, LOC122571357	LOC100643414, LOC100645147		
OG0000729	LOC126928956	LOC117214459	LOC122571356	LOC105666130		FBgn0036101, FBgn0036101, FBgn0036101, FBgn0036101
OG0000730	LOC126928922	LOC117214447	LOC122571346	LOC100644371		FBgn0003118, FBgn0003118, FBgn0003118, FBgn0003118
OG0000731	LOC126925025	LOC117214324	LOC122571433	LOC100647385		FBgn0029890, FBgn0036162, FBgn0286222, FBgn0286222
OG0000732	LOC126924975	LOC117214155	LOC122571506	LOC100649632		FBgn0037137, FBgn0037137, FBgn0037137, FBgn0037137
OG0000733	LOC126926791	LOC117209499	LOC122571915	LOC100646833		FBgn0260749, FBgn0260749, FBgn0260749, FBgn0260749
OG0000734	LOC126928801	LOC117209455	LOC122571599	LOC100649815	LOC408278, LOC408278, LOC408278	FBgn0033791
OG0000735	LOC126914517	LOC117204165	LOC122567148	LOC100651635		FBgn0020660, FBgn0020660, FBgn0020660, FBgn0020660
OG0000736	LOC126914982	LOC117204160	LOC122566874	LOC100652227		FBgn0003423, FBgn0003423, FBgn0003423, FBgn0003423
OG0000737	LOC126914983	LOC117204162	LOC122566875	LOC100642199		FBgn0023524, FBgn0023524, FBgn0023524, FBgn0023524
OG0000738	LOC126914207	LOC117204068	LOC122567184	LOC100646971, LOC125385049, LOC125385050		FBgn0039125, FBgn0052246
OG0000739	LOC126915000	LOC117204241, LOC117212456	LOC122566777, LOC122568142	LOC100645163		FBgn0035607, FBgn0036229
OG0000740	LOC126914444	LOC117208176	LOC122567120	LOC100649877		FBgn0051729, FBgn0051729, FBgn0051729, FBgn0051729
OG0000741	LOC126914050	LOC117212503	LOC122567173	LOC100644958		FBgn0058263, FBgn0058263, FBgn0058263, FBgn0058263
OG0000742	LOC126914013	LOC117204021	LOC122567182	LOC100651480		FBgn0051072, FBgn0051072, FBgn0051072, FBgn0051072
OG0000743	LOC126914578	LOC117207338	LOC122567226	LOC100650999		FBgn0010015, FBgn0010015, FBgn0011826, FBgn0267912
OG0000744	LOC126914316, LOC126918856	LOC117206595	LOC122573601, LOC122573699	LOC100643523, LOC100645071		FBgn0035205
OG0000745	LOC126914333	LOC117212161	LOC122566714	LOC100644634		FBgn0004882, FBgn0004882, FBgn0004882, FBgn0004882
OG0000746	LOC126914318	LOC117210753	LOC122566557	LOC100648128		FBgn0010482, FBgn0010482, FBgn0010482, FBgn0010482
OG0000747	LOC126914722	LOC117208693	LOC122567138	LOC100643927		FBgn0039647, FBgn0039647, FBgn0039647, FBgn0039647
OG0000748	LOC126914656	LOC117214687	LOC122566433	LOC100644882		FBgn0026160, FBgn0026160, FBgn0026160, FBgn0026160
OG0000749	LOC126914707, LOC126914736			LOC100650186, LOC125384706, LOC125384911, LOC125384998, LOC125385004, LOC125386999		
OG0000750	LOC126914381	LOC117212317	LOC122567076	LOC100649981		FBgn0004611, FBgn0004611, FBgn0004611, FBgn0004611
OG0000751	LOC126914272	LOC117212323	LOC122567015	LOC100650746		FBgn0031384, FBgn0031384, FBgn0031384, FBgn0031384
OG0000752	LOC126915288, LOC126915289	LOC117211477, LOC117211481	LOC122568543, LOC122568544	LOC100650508, LOC125384647		
OG0000753	LOC126915739, LOC126915740	LOC117213572, LOC117213601	LOC122568092, LOC122568168	LOC100643198, LOC100647968		
OG0000754	LOC126915072	LOC117212734	LOC122568712	LOC100648731		FBgn0087011, FBgn0087011, FBgn0087011, FBgn0087011
OG0000755	LOC126915806, LOC126918769	LOC117208367	LOC122575422	LOC100645621	LOC412522, LOC412522	FBgn0039635
OG0000756	LOC126915400	LOC117214741	LOC122568763	LOC100650524		FBgn0025726, FBgn0025726, FBgn0025726, FBgn0025726
OG0000757	LOC126915810, LOC126915875	LOC117214660, LOC117214665	LOC122568073, LOC122568162	LOC100651485, LOC100651601		
OG0000758	LOC126915496	LOC117214704	LOC122568244	LOC100648090		FBgn0261549, FBgn0261549, FBgn0261549, FBgn0261549
OG0000759	LOC126916226	LOC117210668	LOC122566294	LOC100650184		FBgn0053143, FBgn0053143, FBgn0053143, FBgn0053143
OG0000760	LOC126916568	LOC117207276	LOC122566087	LOC100647093		FBgn0031145, FBgn0031145, FBgn0031145, FBgn0032680
OG0000761	LOC126916589	LOC117207298	LOC122566096	LOC100646523		FBgn0264895, FBgn0264895, FBgn0264895, FBgn0264895
OG0000762	LOC126916311	LOC117209241	LOC122566321	LOC100643237		FBgn0025836, FBgn0025836, FBgn0025836, FBgn0025836
OG0000763	LOC126916870	LOC117212561	LOC122566308	LOC100643683		FBgn0035772, FBgn0035772, FBgn0035772, FBgn0035772
OG0000764	LOC126916067, LOC126916069	LOC117207038, LOC117207040	LOC122565998	LOC100642482, LOC100652310		FBgn0015905
OG0000765	LOC126916333	LOC117206942	LOC122578015	LOC100650270		FBgn0027948, FBgn0027948, FBgn0027948, FBgn0027948
OG0000766	LOC126916344	LOC117207028	LOC122577950	LOC100650757		FBgn0278608, FBgn0278608, FBgn0278608, FBgn0278608
OG0000767	LOC126916721	LOC117205947	LOC122577960	LOC100647058		FBgn0011584, FBgn0011584, FBgn0011584, FBgn0011584
OG0000768	LOC126916729	LOC117205950	LOC122577966	LOC100647837		FBgn0033635, FBgn0033635, FBgn0033635, FBgn0033635
OG0000769	LOC126916906	LOC117206180	LOC122577989	LOC100648737		FBgn0259685, FBgn0259685, FBgn0259685, FBgn0259685
OG0000770	LOC126916040, LOC126918369	LOC117206176, LOC117215061	LOC122566257, LOC122577729	LOC100643601, LOC110119188		
OG0000771	LOC126915949	LOC117206115	LOC122566182	LOC100650237		FBgn0033339, FBgn0033339, FBgn0033339, FBgn0033339
OG0000772	LOC126916644	LOC117206001	LOC122565853	LOC100651988		FBgn0000567, FBgn0000567, FBgn0000567, FBgn0000567
OG0000773	LOC126916679	LOC117206126	LOC122578011	LOC100652224		FBgn0250789, FBgn0250789, FBgn0250789, FBgn0250789
OG0000774	LOC126917278	LOC117212679	LOC122572614	LOC100650974		FBgn0004179, FBgn0004179, FBgn0004179, FBgn0004179
OG0000775	LOC126917256	LOC117212695	LOC122572943	LOC100642580		FBgn0035850, FBgn0035850, FBgn0035850, FBgn0035850
OG0000776	LOC126917237	LOC117212694	LOC122572952	LOC100642465		FBgn0286784, FBgn0286784, FBgn0286784, FBgn0286784
OG0000777	LOC126917218	LOC117207104	LOC122572779	LOC100644264	LOC726316	FBgn0050354, FBgn0260008, FBgn0260008
OG0000778	LOC126917188	LOC117207060	LOC122572769	LOC100645093		FBgn0025720, FBgn0025720, FBgn0025720, FBgn0025720
OG0000779	LOC126917192	LOC117207083	LOC122572698	LOC100645958		FBgn0285954, FBgn0285954, FBgn0285954, FBgn0285954
OG0000780	LOC126917113	LOC117211312, LOC117211313	LOC122573138	LOC100648719		FBgn0265082, FBgn0265082, FBgn0265082
OG0000781	LOC126917116	LOC117211332	LOC122573144	LOC100650855		FBgn0033062, FBgn0033062, FBgn0033062, FBgn0033062
OG0000782	LOC126917120	LOC117211353	LOC122573127	LOC100652204		FBgn0000667, FBgn0000667, FBgn0000667, FBgn0000667
OG0000783	LOC126917776	LOC117211314	LOC122573191	LOC100650124		FBgn0259099, FBgn0259099, FBgn0259099, FBgn0259099
OG0000784	LOC126917958	LOC117207548	LOC122573215	LOC100644491		FBgn0004598, FBgn0004598, FBgn0004598, FBgn0004598
OG0000785	LOC126918134	LOC117207566	LOC122573119	LOC100650334		FBgn0013751, FBgn0013751, FBgn0013751, FBgn0013751
OG0000786	LOC126917326	LOC117206294	LOC122572844	LOC100652201		FBgn0266521, FBgn0266521, FBgn0266521, FBgn0266521
OG0000787	LOC126917321	LOC117206243	LOC122573058	LOC100643495		FBgn0031637, FBgn0031637, FBgn0031637, FBgn0031637
OG0000788	LOC126917308	LOC117206236	LOC122573055	LOC100643704		FBgn0004924, FBgn0004924, FBgn0004924, FBgn0004924
OG0000789	LOC126917616	LOC117208793	LOC122572990	LOC100649853		FBgn0039137, FBgn0039137, FBgn0039137, FBgn0039137
OG0000790	LOC126917901	LOC117208807	LOC122572385	LOC100645134	LOC551324, LOC551324	FBgn0036353, FBgn0036353
OG0000791	LOC126917894	LOC117208802	LOC122572379	LOC100644814		FBgn0039084, FBgn0039084, FBgn0039084, FBgn0039084
OG0000792	LOC126917607	LOC117208796	LOC122572297	LOC100646189		FBgn0003742, FBgn0003742, FBgn0003742, FBgn0003742
OG0000793	LOC126917543	LOC117212429	LOC122572550	LOC100645646		FBgn0000451, FBgn0000451, FBgn0000451, FBgn0000451
OG0000794	LOC126917819, LOC126917820	LOC117211992, LOC117212000	LOC122572637, LOC122572638	LOC100648254, LOC105666267		
OG0000795	LOC126917528	LOC117211929	LOC122572983	LOC100643618		FBgn0031395, FBgn0031395, FBgn0031395, FBgn0031395
OG0000796	LOC126917397	LOC117214064	LOC122573028	LOC100643492		FBgn0003091, FBgn0003091, FBgn0003091, FBgn0003091
OG0000797	LOC126917388, LOC126917392	LOC117214082	LOC122573026	LOC100646629, LOC105666209		FBgn0034622, FBgn0036829
OG0000798	LOC126917384	LOC117214023	LOC122573023	LOC100646989		FBgn0035880, FBgn0035880, FBgn0035880, FBgn0035880
OG0000799	LOC126918352	LOC117211005	LOC122573522	LOC100651746		FBgn0085376, FBgn0085376, FBgn0085376, FBgn0085376
OG0000800	LOC126918336	LOC117215048	LOC122577719	LOC100644321		FBgn0023172, FBgn0023172, FBgn0023172, FBgn0023172
OG0000801	LOC126918485	LOC117215078	LOC122577582	LOC100650714		FBgn0260943, FBgn0260943, FBgn0260943, FBgn0260943
OG0000802	LOC126918487	LOC117210453	LOC122577796	LOC100651869		FBgn0028789, FBgn0028789, FBgn0035954, FBgn0035956
OG0000803	LOC126918661	LOC117210445	LOC122577614	LOC100650027		FBgn0026313, FBgn0026313, FBgn0026313, FBgn0026313
OG0000804	LOC126918573	LOC117210471	LOC122577761	LOC100643843		FBgn0039969, FBgn0039969, FBgn0039969, FBgn0039969
OG0000805	LOC126918451	LOC117212242	LOC122577858	LOC100649645		FBgn0028717, FBgn0028717, FBgn0028717, FBgn0028717
OG0000806	LOC126918902	LOC117212227	LOC122577832	LOC100644664		FBgn0021979, FBgn0021979, FBgn0021979, FBgn0021979
OG0000807	LOC126918884	LOC117212261	LOC122577661	LOC100643636		FBgn0040238, FBgn0040238, FBgn0040238, FBgn0040238
OG0000808	LOC126918873	LOC117212256	LOC122577702	LOC100643024		FBgn0040752, FBgn0040752, FBgn0040752, FBgn0040752
OG0000809	LOC126918639	LOC117206503	LOC122572695	LOC100649759		FBgn0032202, FBgn0032202, FBgn0032202, FBgn0032202
OG0000810	LOC126918640	LOC117206537, LOC117206538	LOC122575933, LOC122577644	LOC100650837, LOC100651434		FBgn0002622
OG0000811	LOC126918238, LOC126918243	LOC117206736, LOC117206737	LOC122572229, LOC122572410	LOC100645312, LOC100645435		
OG0000812	LOC126918256, LOC126918257	LOC117206587, LOC117206588	LOC122572212, LOC122573754	LOC100645745, LOC100645863		
OG0000813	LOC126918585, LOC126921336	LOC117206346	LOC122572535, LOC122573786	LOC100648294, LOC105667110		FBgn0034479
OG0000814	LOC126918824, LOC126918825	LOC117211281, LOC117211282	LOC122577714	LOC100644796, LOC100645115		FBgn0040077
OG0000815	LOC126919650, LOC126926096, LOC126927375	LOC117213435		LOC105667042, LOC125386705, LOC125386963, LOC125386983		
OG0000816	LOC126919400, LOC126926085, LOC126926585		LOC122565573	LOC105667083, LOC125385810, LOC125386966, LOC125387015		
OG0000817	LOC126919379	LOC117212433	LOC122569024	LOC100642627		FBgn0015803, FBgn0015803, FBgn0015803, FBgn0015803
OG0000818	LOC126919685	LOC117209670	LOC122568792	LOC100650873		FBgn0030114, FBgn0030114, FBgn0030114, FBgn0030114
OG0000819	LOC126919886	LOC117215753	LOC122566252	LOC100647449		FBgn0036272, FBgn0036272, FBgn0036272, FBgn0036272
OG0000820	LOC126919877	LOC117215742	LOC122566264	LOC100645859	LOC100578953, LOC100578953	FBgn0036369, FBgn0036369
OG0000821	LOC126919553, LOC126919669	LOC117208558	LOC122570770, LOC122570777	LOC100650232, LOC100652029		FBgn0263831
OG0000822	LOC126919334, LOC126919337	LOC117208592, LOC117208595	LOC122566942, LOC122566963, LOC122566975	LOC100644429		
OG0000823	LOC126919317	LOC117208563, LOC117209317	LOC122575367	LOC100649561		FBgn0261563, FBgn0261563, FBgn0261563
OG0000824	LOC126919319	LOC117209319	LOC122575524	LOC100647955		FBgn0260486, FBgn0260486, FBgn0260486, FBgn0260486
OG0000825	LOC126919187	LOC117211536	LOC122577907	LOC100646281		FBgn0004102, FBgn0004102, FBgn0004102, FBgn0004102
OG0000826	LOC126919233	LOC117211585	LOC122578033	LOC100648080		FBgn0031952, FBgn0031952, FBgn0031952, FBgn0031952
OG0000827	LOC126919102	LOC117210800	LOC122571390	LOC100648501		FBgn0004666, FBgn0004666, FBgn0004666, FBgn0004666
OG0000828	LOC126919759	LOC117210968	LOC122571600	LOC100650672		FBgn0283508, FBgn0283508, FBgn0283508, FBgn0283508
OG0000829	LOC126919746	LOC117210894	LOC122568457	LOC100647800		FBgn0008651, FBgn0008651, FBgn0008651, FBgn0011278
OG0000830	LOC126919510	LOC117210986	LOC122567930	LOC100651827		FBgn0052831, FBgn0052831, FBgn0052831, FBgn0052831
OG0000831	LOC126919681	LOC117210832, LOC117210833	LOC122568000	LOC100650388, LOC100650629		FBgn0003292, FBgn0027599
OG0000832	LOC126920172	LOC117212100	LOC122571094	LOC105666021		FBgn0030608, FBgn0030608, FBgn0030608, FBgn0030608
OG0000833	LOC126920179	LOC117212116	LOC122570671	LOC100645838		FBgn0037151, FBgn0037544, FBgn0052640, FBgn0052641
OG0000834	LOC126920794	LOC117212106	LOC122570638	LOC100648057		FBgn0034486, FBgn0035750, FBgn0035751, FBgn0036343
OG0000835	LOC126919952	LOC117212055	LOC122571127	LOC100648519	LOC410062	FBgn0033391, FBgn0033391, FBgn0033391
OG0000836	LOC126920049	LOC117204869	LOC122570738	LOC100650889		FBgn0001142, FBgn0001145, FBgn0001145, FBgn0001145
OG0000837	LOC126920757	LOC117204959	LOC122570831	LOC100645758		FBgn0039705, FBgn0039705, FBgn0039705, FBgn0039705
OG0000838	LOC126920511	LOC117204749	LOC122570680	LOC100648828		FBgn0263120, FBgn0263120, FBgn0263120, FBgn0263120
OG0000839	LOC126920203	LOC117207187	LOC122570719	LOC100646422		FBgn0035392, FBgn0035392, FBgn0035392, FBgn0035392
OG0000840	LOC126920486	LOC117207862	LOC122571043	LOC100650446		FBgn0023076, FBgn0023076, FBgn0023076, FBgn0023076
OG0000841	LOC126920480	LOC117207869	LOC122570479	LOC100651687		FBgn0029157, FBgn0029157, FBgn0029157, FBgn0029157
OG0000842	LOC126921435	LOC117211053	LOC122573281	LOC100649743		FBgn0032812, FBgn0032812, FBgn0032812, FBgn0032812
OG0000843	LOC126921471	LOC117208226	LOC122573306	LOC100645460		FBgn0037796, FBgn0037796, FBgn0037796, FBgn0037796
OG0000844	LOC126921466	LOC117208272	LOC122573812	LOC100648875		FBgn0004575, FBgn0004575, FBgn0004575, FBgn0004575
OG0000845	LOC126921478, LOC126921480	LOC117208234	LOC122573447, LOC122573448	LOC100643980, LOC105666316		FBgn0039136
OG0000846	LOC126921507	LOC117208233	LOC122573428	LOC100643010		FBgn0003028, FBgn0003028, FBgn0003028, FBgn0003028
OG0000847	LOC126921007	LOC117212622	LOC122573384	LOC100647817		FBgn0032955, FBgn0032955, FBgn0032955, FBgn0032955
OG0000848	LOC126920983	LOC117212633	LOC122573370	LOC100647077		FBgn0001978, FBgn0001978, FBgn0001978, FBgn0001978
OG0000849	LOC126921098	LOC117206337	LOC122573834	LOC100646122		FBgn0041150, FBgn0041150, FBgn0041150, FBgn0041150
OG0000850	LOC126921169	LOC117206435	LOC122573361	LOC100648335		FBgn0002023, FBgn0002023, FBgn0002023, FBgn0002023
OG0000851	LOC126921045	LOC117207481	LOC122573342	LOC100649705		FBgn0030102, FBgn0053548, FBgn0053548, FBgn0053548
OG0000852	LOC126921037	LOC117207426	LOC122573328	LOC100647748		FBgn0028968, FBgn0028968, FBgn0028968, FBgn0028968
OG0000853	LOC126921233	LOC117210202	LOC122573745	LOC100646632		FBgn0038721, FBgn0038721, FBgn0038721, FBgn0038721
OG0000854	LOC126921236	LOC117210115	LOC122573669	LOC100648178		FBgn0030089, FBgn0030089, FBgn0030089, FBgn0030089
OG0000855	LOC126921261	LOC117210135	LOC122573278	LOC105666353		FBgn0085638, FBgn0085638, FBgn0085638, FBgn0085638
OG0000856	LOC126921316	LOC117210271	LOC122573910	LOC100651052		FBgn0032889, FBgn0032889, FBgn0032889, FBgn0051674
OG0000857	LOC126921303	LOC117210258	LOC122573899	LOC100651537	LOC409483, LOC409483	FBgn0033846, FBgn0033846
OG0000858	LOC126921298	LOC117210013	LOC122573405	LOC100643983	LOC552718, LOC552718, LOC552718	FBgn0001965
OG0000859	LOC126920890	LOC117210297	LOC122573304	LOC100652208		FBgn0261671, FBgn0261671, FBgn0261671, FBgn0261671
OG0000860	LOC126921296, LOC126926338, LOC126926594	LOC117213247, LOC117216953	LOC122574356, LOC122576924	LOC125387004		
OG0000861	LOC126922067	LOC117215179	LOC122567986	LOC100647930		FBgn0031730, FBgn0031730, FBgn0031730, FBgn0031730
OG0000862	LOC126922076, LOC126922331	LOC117212780, LOC117215189	LOC122567406, LOC122567866	LOC100649292, LOC125385139		
OG0000863	LOC126922040	LOC117215177	LOC122567758	LOC100649768		FBgn0086604, FBgn0086604, FBgn0086604, FBgn0086604
OG0000864	LOC126922081	LOC117212799	LOC122567348	LOC100650881		FBgn0260794, FBgn0260794, FBgn0260794, FBgn0260794
OG0000865	LOC126921714	LOC117205324	LOC122567691	LOC100645828		FBgn0034072, FBgn0034072, FBgn0034072, FBgn0034072
OG0000866	LOC126921823	LOC117205001	LOC122567729	LOC100650075		FBgn0025837, FBgn0025837, FBgn0025837, FBgn0030932
OG0000867	LOC126921929	LOC117205020	LOC122567321	LOC100650558		FBgn0034483, FBgn0285962, FBgn0285962, FBgn0285962
OG0000868	LOC126921895	LOC117205036	LOC122567534	LOC100643689		FBgn0016061, FBgn0016061, FBgn0016061, FBgn0016061
OG0000869	LOC126921672	LOC117210919	LOC122567331	LOC100651797		FBgn0003390, FBgn0003390, FBgn0003390, FBgn0003390
OG0000870	LOC126922219	LOC117213131	LOC122567429	LOC100643361		FBgn0027951, FBgn0027951, FBgn0027951, FBgn0027951
OG0000871	LOC126922239	LOC117213166	LOC122567547	LOC100642447		FBgn0287186, FBgn0287186, FBgn0287186, FBgn0287186
OG0000872	LOC126922015	LOC117206188	LOC122567439	LOC100646254		FBgn0262115, FBgn0262115, FBgn0262115, FBgn0262115
OG0000873	LOC126922028	LOC117204916	LOC122567317	LOC100647455		FBgn0034598, FBgn0034598, FBgn0034598, FBgn0034598
OG0000874	LOC126922155	LOC117216860	LOC122567843	LOC100651000		FBgn0039065, FBgn0039065, FBgn0039065, FBgn0039065
OG0000875	LOC126922151	LOC117215918	LOC122567684	LOC100642995		FBgn0036622, FBgn0036623, FBgn0036623, FBgn0036623
OG0000876	LOC126922462	LOC117215659	LOC122574459	LOC100643587		FBgn0261588, FBgn0261588, FBgn0261588, FBgn0261588
OG0000877	LOC126922530	LOC117216375	LOC122574031	LOC100644496	LOC408431	FBgn0030530, FBgn0030530, FBgn0030530
OG0000878	LOC126922561	LOC117216378	LOC122574036	LOC100645652		FBgn0259822, FBgn0259822, FBgn0259822, FBgn0259822
OG0000879	LOC126922604	LOC117216373	LOC122574128	LOC100651655		FBgn0032801, FBgn0032809, FBgn0032810, FBgn0032810
OG0000880	LOC126922531, LOC126922549	LOC117216339	LOC122574198, LOC122574207	LOC100642657, LOC105666413		FBgn0031854
