HOG	OG	Gene Tree Parent Clade	Bombus_affinis	Bombus_bifarius	Bombus_pyrosoma	Bombus_terrestris
N0.HOG0001722	OG0001466	n0	LOC126925653	LOC117212902	LOC122571711	LOC100645415
N0.HOG0001723	OG0001467	n0	LOC126925635	LOC117212901	LOC122571709	LOC100645292
N0.HOG0001724	OG0001468	n0	LOC126925619	LOC117212922	LOC122571706	LOC100645642
N0.HOG0001725	OG0001469	n0	LOC126925739	LOC117212920	LOC122571648	LOC100646350
N0.HOG0001726	OG0001470	n0	LOC126925744	LOC117212921	LOC122571649	LOC100645953
N0.HOG0001727	OG0001471	n0	LOC126925763	LOC117212914	LOC122571657	LOC100646186
N0.HOG0001728	OG0001472	n0	LOC126925725	LOC117212907	LOC122571654	LOC100646067
N0.HOG0001729	OG0001473	n0	LOC126925738	LOC117212912	LOC122571656	LOC100646304
N0.HOG0001730	OG0001474	n0	LOC126925681	LOC117212905	LOC122571651	LOC100646670
N0.HOG0001731	OG0001475	n0	LOC126925734	LOC117212909	LOC122571655	LOC100650507
N0.HOG0001732	OG0001476	n0	LOC126925719	LOC117212906	LOC122571653	LOC100650624
N0.HOG0001733	OG0001477	n0	LOC126925769, LOC126927990	LOC117212915		LOC105666789
N0.HOG0001734	OG0001478	n0	LOC126926570	LOC117212911	LOC122571481	LOC100646916
N0.HOG0001735	OG0001479	n0	LOC126926619	LOC117212913	LOC122571483	LOC100647152
N0.HOG0001736	OG0001480	n0	LOC126926547	LOC117212910	LOC122571480	LOC100647034
N0.HOG0001737	OG0001481	n0	LOC126926712	LOC117212924	LOC122571484	LOC100647508
N0.HOG0001738	OG0001482	n0	LOC126926539	LOC117212917	LOC122571304	LOC100647386
N0.HOG0001739	OG0001483	n0	LOC126926503	LOC117212916	LOC122571303	LOC100647268
N0.HOG0001740	OG0001484	n0	LOC126926519	LOC117209650	LOC122571803	LOC100647983
N0.HOG0001741	OG0001485	n0	LOC126926614	LOC117209651	LOC122571804	LOC100647742
N0.HOG0001742	OG0001486	n0	LOC126926662	LOC117209652	LOC122571805	LOC100648104
N0.HOG0001743	OG0001487	n0	LOC126926352	LOC117209525	LOC122571456	LOC100648366
N0.HOG0001744	OG0001488	n0	LOC126926456	LOC117209522	LOC122571327	LOC100648480
N0.HOG0001745	OG0001489	n0	LOC126926530	LOC117209622	LOC122572153	LOC100648601
N0.HOG0001746	OG0001490	n0	LOC126926588	LOC117209605	LOC122572154	LOC100648716
N0.HOG0001747	OG0001491	n0	LOC126926383	LOC117209544	LOC122572152	LOC100648832
N0.HOG0001748	OG0001492	n0	LOC126926592	LOC117209547	LOC122572155	LOC100646473
N0.HOG0001749	OG0001493	n0	LOC126926639	LOC117209621	LOC122572156	LOC100646592
N0.HOG0001750	OG0001494	n0	LOC126926348	LOC117209488	LOC122572219	LOC100649066
N0.HOG0001751	OG0001495	n0	LOC126926405	LOC117209490	LOC122572221	LOC100649182
N0.HOG0001752	OG0001496	n0	LOC126926351	LOC117209489	LOC122572220	LOC125385836
N0.HOG0001753	OG0001497	n0	LOC126926523	LOC117209598	LOC122571450	LOC100649418
N0.HOG0001754	OG0001498	n0	LOC126926610	LOC117209506	LOC122571452	LOC100649541
N0.HOG0001755	OG0001499	n0	LOC126926497	LOC117209505	LOC122571449	LOC100649739
N0.HOG0001756	OG0001500	n0	LOC126926646	LOC117209509	LOC122571453	LOC100649848
N0.HOG0001757	OG0001501	n0	LOC126926430	LOC117209502	LOC122571416	LOC100649965
N0.HOG0001758	OG0001502	n0	LOC126926625	LOC117209507	LOC122571418	LOC100650088
N0.HOG0001759	OG0001503	n0	LOC126926485	LOC117209504	LOC122571417	LOC100650331
N0.HOG0001760	OG0001504	n0	LOC126926629	LOC117209508	LOC122571419	LOC100650448
N0.HOG0001761	OG0001505	n0	LOC126926791	LOC117209499	LOC122571915	LOC100646833
N0.HOG0001762	OG0001506	n0	LOC126926809	LOC117209501	LOC122571917	LOC100650732
N0.HOG0001763	OG0001507	n0	LOC126928094	LOC117209549	LOC122571575	LOC100650850
N0.HOG0001764	OG0001508	n0	LOC126928107	LOC117209543	LOC122571567	LOC100650967
N0.HOG0001765	OG0001509	n0	LOC126928200	LOC117209608	LOC122571568	LOC100651452
N0.HOG0001766	OG0001510	n0	LOC126928134	LOC117209538	LOC122571550	LOC100651335
N0.HOG0001767	OG0001511	n0	LOC126928112	LOC117209537	LOC122571691	LOC105666151
N0.HOG0001768	OG0001512	n0	LOC126928123	LOC117209591	LOC122571516	LOC100651571
N0.HOG0001769	OG0001513	n0	LOC126925376	LOC117209594	LOC122571517	LOC100651689
N0.HOG0001770	OG0001514	n0	LOC126925205	LOC117209592	LOC122571515	LOC100652009
N0.HOG0001771	OG0001515	n0	LOC126925388	LOC117209641	LOC122571339	LOC100642221
N0.HOG0001772	OG0001516	n0	LOC126925324	LOC117209638	LOC122571337	LOC100652249
N0.HOG0001773	OG0001517	n0	LOC126925249	LOC117209637	LOC122571336	LOC100652131
N0.HOG0001774	OG0001518	n0	LOC126925342	LOC117209640	LOC122571338	LOC100642342
N0.HOG0001775	OG0001519	n0	LOC126925237	LOC117209636	LOC122571335	LOC100646953
N0.HOG0001776	OG0001520	n0	LOC126925398	LOC117209642	LOC122571340	LOC100642462
N0.HOG0001777	OG0001521	n0	LOC126925345	LOC117209596	LOC122571566	LOC100642700
N0.HOG0001778	OG0001522	n0	LOC126925267	LOC117209527	LOC122572182	LOC100642578
N0.HOG0001779	OG0001523	n0	LOC126925405	LOC117209528	LOC122572187	LOC100643247
N0.HOG0001780	OG0001524	n0	LOC126925295	LOC117209526	LOC122572184	LOC100642890
N0.HOG0001781	OG0001525	n0	LOC126925243	LOC117209496	LOC122572181	LOC100643581
N0.HOG0001782	OG0001526	n0	LOC126925300	LOC117209498	LOC122572185	LOC105666154
N0.HOG0001783	OG0001527	n0	LOC126925275	LOC117209497	LOC122572183	LOC100643977
N0.HOG0001784	OG0001528	n0	LOC126925224	LOC117209495	LOC122572180	LOC100643370
N0.HOG0001785	OG0001529	n0	LOC126925290	LOC117209518	LOC122572160	LOC100643701
N0.HOG0001786	OG0001530	n0	LOC126925331	LOC117209520	LOC122572163	LOC100644096
N0.HOG0001787	OG0001531	n0	LOC126925317	LOC117209519	LOC122572162	LOC100644213
N0.HOG0001788	OG0001532	n0	LOC126925308	LOC117209590	LOC122572161	LOC100644450
N0.HOG0001789	OG0001533	n0	LOC126928869	LOC117209643	LOC122571376	LOC100644771
N0.HOG0001790	OG0001534	n0	LOC126928874	LOC117209645	LOC122571379	LOC100644898
N0.HOG0001791	OG0001535	n0	LOC126928873	LOC117209644	LOC122571377	LOC100647189
N0.HOG0001792	OG0001536	n0	LOC126928004	LOC117209649	LOC122571382	LOC100647304
N0.HOG0001793	OG0001537	n0	LOC126928878	LOC117209477	LOC122571391	LOC100645681
N0.HOG0001794	OG0001538	n0	LOC126928868	LOC117209475	LOC122571385	LOC100645334
N0.HOG0001795	OG0001539	n0	LOC126928870	LOC117209610	LOC122571388	LOC100647779
N0.HOG0001796	OG0001540	n0	LOC126928872	LOC117209603	LOC122571389	LOC100646265
N0.HOG0001797	OG0001541	n0	LOC126928008	LOC117209601	LOC122571401	LOC100648025
N0.HOG0001798	OG0001542	n0	LOC126926238	LOC117209599	LOC122571387	LOC125384595
N0.HOG0001799	OG0001543	n0	LOC126926184	LOC117209619	LOC122571735	LOC100646834
N0.HOG0001800	OG0001544	n0	LOC126925958	LOC117209617	LOC122571730	LOC100647035
N0.HOG0001801	OG0001545	n0	LOC126926149	LOC117209618	LOC122571733	LOC100647153
N0.HOG0001802	OG0001546	n0	LOC126926192	LOC117209620	LOC122571734	LOC100647269
N0.HOG0001803	OG0001547	n0	LOC126925866	LOC117209612	LOC122571726	LOC100647387
N0.HOG0001804	OG0001548	n0	LOC126925985	LOC117209613	LOC122571731	LOC100647509
N0.HOG0001805	OG0001549	n0	LOC126926197	LOC117209604	LOC122572147	LOC100647984
N0.HOG0001806	OG0001550	n0	LOC126926029	LOC117209624	LOC122572190	LOC100647629
N0.HOG0001807	OG0001551	n0	LOC126926101	LOC117209626	LOC122572192	LOC100647743
N0.HOG0001808	OG0001552	n0	LOC126925777	LOC117209623	LOC122572189	LOC100648253
N0.HOG0001809	OG0001553	n0	LOC126926036	LOC117209625	LOC122572191	LOC100648171
N0.HOG0001810	OG0001554	n0	LOC126926237	LOC117209539	LOC122572193	LOC100648405
N0.HOG0001811	OG0001555	n0	LOC126926054	LOC117209602	LOC122572201	LOC100648287
N0.HOG0001812	OG0001556	n0	LOC126925790	LOC117209628	LOC122572195	LOC100648523
N0.HOG0001813	OG0001557	n0	LOC126926045	LOC117209632	LOC122572200	LOC100648643
N0.HOG0001814	OG0001558	n0	LOC126925928	LOC117209629	LOC122572196	LOC100648756
N0.HOG0001815	OG0001559	n0	LOC126926024	LOC117209631	LOC122572199	LOC110119144
N0.HOG0001816	OG0001560	n0	LOC126926141	LOC117209633	LOC122571692	LOC100648365
N0.HOG0001817	OG0001561	n0	LOC126926167	LOC117209634	LOC122572204	LOC100649099
N0.HOG0001818	OG0001562	n0	LOC126925994	LOC117209532	LOC122572198	LOC100649302
N0.HOG0001819	OG0001563	n0	LOC126926005	LOC117209531	LOC122572197	LOC100648479
N0.HOG0001820	OG0001564	n0	LOC126926089	LOC117209533	LOC122572202	LOC100649542
N0.HOG0001821	OG0001565	n0	LOC126926177	LOC117209536	LOC122572205	LOC100649740
N0.HOG0001822	OG0001566	n0	LOC126926084	LOC117209534	LOC122572203	LOC100649849
N0.HOG0001823	OG0001567	n0	LOC126925951	LOC117209548	LOC122571422	LOC100649419
N0.HOG0001824	OG0001568	n0	LOC126926074	LOC117209512	LOC122571423	LOC100648600
N0.HOG0001825	OG0001569	n0	LOC126926208	LOC117209515	LOC122571426	LOC100649966
N0.HOG0001826	OG0001570	n0	LOC126926122	LOC117209513	LOC122571424	LOC100650412
N0.HOG0001827	OG0001571	n0	LOC126926171	LOC117209514	LOC122571425	LOC100650534
N0.HOG0001828	OG0001572	n0	LOC126925856	LOC117209511	LOC122571421	LOC100650292
N0.HOG0001829	OG0001573	n0	LOC126926225	LOC117209611	LOC122572159	LOC100650654
N0.HOG0001830	OG0001574	n0	LOC126925944	LOC117209550	LOC122571956	LOC100650777
N0.HOG0001831	OG0001575	n0	LOC126926079	LOC117209517	LOC122571972	LOC100650893
N0.HOG0001832	OG0001576	n0	LOC126926019	LOC117209516	LOC122571961	LOC100651013
N0.HOG0001833	OG0001577	n0	LOC126928682	LOC117209595	LOC122571967	LOC100651133
N0.HOG0001834	OG0001578	n0	LOC126928704	LOC117209587	LOC122571986	LOC100651253
N0.HOG0001835	OG0001579	n0	LOC126928673	LOC117209580	LOC122571957	LOC100651723
N0.HOG0001836	OG0001580	n0	LOC126928697	LOC117209583	LOC122571979	LOC100651842
N0.HOG0001837	OG0001581	n0	LOC126928701	LOC117209584	LOC122571983	LOC100651959
N0.HOG0001838	OG0001582	n0	LOC126928702	LOC117209586	LOC122571984	LOC100652081
N0.HOG0001839	OG0001583	n0	LOC126928685	LOC117209582	LOC122571970	LOC100652199
N0.HOG0001840	OG0001584	n0	LOC126928683	LOC117209581	LOC122571968	LOC100642254
N0.HOG0001841	OG0001585	n0	LOC126928700	LOC117209578	LOC122571982	LOC100642373
N0.HOG0001842	OG0001586	n0	LOC126928681	LOC117209564	LOC122571966	LOC100642494
N0.HOG0001843	OG0001587	n0	LOC126928695	LOC117209573	LOC122571978	LOC100642731
N0.HOG0001844	OG0001588	n0	LOC126928698	LOC117209575	LOC122571980	LOC100643087
N0.HOG0001845	OG0001589	n0	LOC126928678	LOC117209560	LOC122571963	LOC100642968
N0.HOG0001846	OG0001590	n0	LOC126928642	LOC117209554	LOC122571954	LOC100642610
N0.HOG0001847	OG0001591	n0	LOC126928674	LOC117209557	LOC122571958	LOC100643293
N0.HOG0001848	OG0001592	n0	LOC126928679	LOC117209563	LOC122571965	LOC100643491
N0.HOG0001849	OG0001593	n0	LOC126928699	LOC117209577	LOC122571981	LOC100643815
N0.HOG0001850	OG0001594	n0	LOC126928671	LOC117209555	LOC122571955	LOC100643616
N0.HOG0001851	OG0001595	n0	LOC126928684	LOC117209565	LOC122571969	LOC100651978
N0.HOG0001852	OG0001596	n0	LOC126928686	LOC117209566	LOC122571971	LOC100651862
N0.HOG0001853	OG0001597	n0	LOC126928623	LOC117209553	LOC122571953	LOC100648946
N0.HOG0001854	OG0001598	n0	LOC126928694	LOC117209572	LOC122571977	LOC100643943
N0.HOG0001855	OG0001599	n0	LOC126928696	LOC117209574	LOC122571693	LOC100649065
N0.HOG0001856	OG0001600	n0	LOC126928676	LOC117209559	LOC122571962	LOC100644067
N0.HOG0001857	OG0001601	n0	LOC126928675	LOC117209558	LOC122571959	LOC100644373
N0.HOG0001858	OG0001602	n0	LOC126928689	LOC117209570	LOC122571975	LOC100644729
N0.HOG0001859	OG0001603	n0	LOC126928692	LOC117209571	LOC122571976	LOC100644489
N0.HOG0001860	OG0001604	n0	LOC126928688	LOC117209569	LOC122571974	LOC100644610
N0.HOG0001861	OG0001605	n0	LOC126928687	LOC117209567	LOC122571973	LOC100644969
N0.HOG0001862	OG0001606	n0	LOC126928014	LOC117209562	LOC122571964	LOC100644852
N0.HOG0001863	OG0001607	n0	LOC126928672	LOC117209552	LOC122572046	LOC100645206
N0.HOG0001864	OG0001608	n0	LOC126923548	LOC117209429	LOC122572118	LOC100649417
N0.HOG0001865	OG0001609	n0	LOC126923633	LOC117209397	LOC122572024	LOC100645765
N0.HOG0001866	OG0001610	n0	LOC126923505	LOC117209392	LOC122572014	LOC100645643
N0.HOG0001867	OG0001611	n0	LOC126923622	LOC117209396	LOC122572023	LOC100645954
N0.HOG0001868	OG0001612	n0	LOC126923393	LOC117209390	LOC122572007	LOC100646068
N0.HOG0001869	OG0001613	n0	LOC126923574	LOC117209393	LOC122572019	LOC100646671
N0.HOG0001870	OG0001614	n0	LOC126923584	LOC117209395	LOC122572021	LOC100646793
N0.HOG0001871	OG0001615	n0	LOC126923399	LOC117209391	LOC122572008	LOC100646187
N0.HOG0001872	OG0001616	n0	LOC126923489	LOC117209453	LOC122572013	LOC100646550
N0.HOG0001873	OG0001617	n0	LOC126923474	LOC117209452	LOC122572011	LOC100646305
N0.HOG0001874	OG0001618	n0	LOC126923432	LOC117209450	LOC122572009	LOC100647036
N0.HOG0001875	OG0001619	n0	LOC126923554	LOC117209435	LOC122572017	LOC100647270
N0.HOG0001876	OG0001620	n0	LOC126923387	LOC117209437	LOC122572006	LOC100649661
N0.HOG0001877	OG0001621	n0	LOC126923559	LOC117209388	LOC122572018	LOC100647388
N0.HOG0001878	OG0001622	n0	LOC126923525	LOC117209336	LOC122572015	LOC100647744
N0.HOG0001879	OG0001623	n0	LOC126923581	LOC117209337	LOC122572020	LOC100647985
N0.HOG0001880	OG0001624	n0	LOC126923616	LOC117209338	LOC122572022	LOC100647864
N0.HOG0001881	OG0001625	n0	LOC126923443	LOC117209334	LOC122572010	LOC100647510
N0.HOG0001882	OG0001626	n0	LOC126928761	LOC117209458	LOC122571869	LOC100648105
N0.HOG0001883	OG0001627	n0	LOC126928762	LOC117209459	LOC122571872	LOC100649776
N0.HOG0001884	OG0001628	n0	LOC126928765	LOC117209344	LOC122571886	LOC100648331
N0.HOG0001885	OG0001629	n0	LOC126928769	LOC117209347	LOC122571900	LOC100648448
N0.HOG0001886	OG0001630	n0	LOC126928763	LOC117209340	LOC122571877	LOC100649887
N0.HOG0001887	OG0001631	n0	LOC126928766	LOC117209343	LOC122571888	LOC100648566
N0.HOG0001888	OG0001632	n0	LOC126928764	LOC117209342	LOC122571878	LOC100648793
N0.HOG0001889	OG0001633	n0	LOC126928767	LOC117209345	LOC122571890	LOC105666160
N0.HOG0001890	OG0001634	n0	LOC126928768	LOC117209346	LOC122571892	LOC100649183
N0.HOG0001891	OG0001635	n0	LOC126928781	LOC117209339	LOC122571876	LOC100649067
N0.HOG0001892	OG0001636	n0	LOC126928826	LOC117209432	LOC122571893	LOC100649303
N0.HOG0001893	OG0001637	n0	LOC126928778	LOC117209431	LOC122571871	LOC105666162
N0.HOG0001894	OG0001638	n0	LOC126928807	LOC117209379	LOC122571881	LOC100649420
N0.HOG0001895	OG0001639	n0	LOC126928775	LOC117209376	LOC122571874	LOC100649850
N0.HOG0001896	OG0001640	n0	LOC126928042	LOC117209353	LOC122571889	LOC100649543
N0.HOG0001897	OG0001641	n0	LOC126928833	LOC117209383	LOC122571896	LOC100650449
N0.HOG0001898	OG0001642	n0	LOC126928834	LOC117209385	LOC122571894	LOC100650211
N0.HOG0001899	OG0001643	n0	LOC126928836	LOC117209384	LOC122571897	LOC100650332
N0.HOG0001900	OG0001644	n0	LOC126928792	LOC117209378	LOC122571879	LOC100649967
N0.HOG0001901	OG0001645	n0	LOC126928812	LOC117209381	LOC122571884	LOC100650655
N0.HOG0001902	OG0001646	n0	LOC126928776	LOC117209377	LOC122571870	LOC100650087
N0.HOG0001903	OG0001647	n0	LOC126928810	LOC117209380	LOC122571883	LOC105666163
N0.HOG0001904	OG0001648	n0	LOC126928816	LOC117209382	LOC122571887	LOC100650778
N0.HOG0001905	OG0001649	n0	LOC126928797	LOC117209372	LOC122571629	LOC100650894
N0.HOG0001906	OG0001650	n0	LOC126928817	LOC117209374	LOC122571635	LOC100650209
N0.HOG0001907	OG0001651	n0	LOC126928811	LOC117209375	LOC122571634	LOC100651088
N0.HOG0001908	OG0001652	n0	LOC126928786	LOC117209409	LOC122571625	LOC100650330
N0.HOG0001909	OG0001653	n0	LOC126928780	LOC117209408	LOC122571622	LOC100651336
N0.HOG0001910	OG0001654	n0	LOC126928818	LOC117209417	LOC122571638	LOC100651454
N0.HOG0001911	OG0001655	n0	LOC126928839	LOC117209425	LOC122571643	LOC100652200
N0.HOG0001912	OG0001656	n0	LOC126928831	LOC117209421	LOC122571640	LOC100651927
N0.HOG0001913	OG0001657	n0	LOC126928790	LOC117209412	LOC122571626	LOC100650447
N0.HOG0001914	OG0001658	n0	LOC126928843	LOC117209414	LOC122571633	LOC100651690
N0.HOG0001915	OG0001659	n0	LOC126928779	LOC117209407	LOC122571621	LOC100650567
N0.HOG0001916	OG0001660	n0	LOC126928785	LOC117209411	LOC122571624	LOC100651572
N0.HOG0001917	OG0001661	n0	LOC126928799	LOC117209415	LOC122571630	LOC100651810
N0.HOG0001918	OG0001662	n0	LOC126928824	LOC117209418	LOC122571636	LOC100642374
N0.HOG0001919	OG0001663	n0	LOC126928796	LOC117209354	LOC122571627	LOC100642495
N0.HOG0001920	OG0001664	n0	LOC126928773	LOC117209404	LOC122571618	LOC100650691
N0.HOG0001921	OG0001665	n0	LOC126928052	LOC117209427	LOC122571637	LOC100650931
N0.HOG0001922	OG0001666	n0	LOC126928841	LOC117209426	LOC122571644	LOC100642732
N0.HOG0001923	OG0001667	n0	LOC126928777	LOC117209406	LOC122571619	LOC100642611
N0.HOG0001924	OG0001668	n0	LOC126928828	LOC117209420	LOC122571639	LOC100643127
N0.HOG0001925	OG0001669	n0	LOC126928803	LOC117209413	LOC122571631	LOC100642853
N0.HOG0001926	OG0001670	n0	LOC126928783	LOC117209364	LOC122571623	LOC100651167
N0.HOG0001927	OG0001671	n0	LOC126928819	LOC117209444	LOC122571998	LOC100643456
N0.HOG0001928	OG0001672	n0	LOC126928800	LOC117209443	LOC122571997	LOC100643702
N0.HOG0001929	OG0001673	n0	LOC126928782	LOC117209442	LOC122571996	LOC100643582
N0.HOG0001930	OG0001674	n0	LOC126928787	LOC117209387	LOC122571460	LOC100651289
N0.HOG0001931	OG0001675	n0	LOC126928789	LOC117209349	LOC122571461	LOC100643816
N0.HOG0001932	OG0001676	n0	LOC126928808	LOC117209357	LOC122571518	LOC100643944
N0.HOG0001933	OG0001677	n0	LOC126928842	LOC117209356	LOC122571520	LOC100644068
N0.HOG0001934	OG0001678	n0	LOC126928813	LOC117209389	LOC122571519	LOC100648564
N0.HOG0001935	OG0001679	n0	LOC126928838	LOC117209439	LOC122571646	LOC100651409
N0.HOG0001936	OG0001680	n0	LOC126928806	LOC117209401	LOC122571603	LOC100648906
N0.HOG0001937	OG0001681	n0	LOC126928815	LOC117209403	LOC122571604	LOC100649097
N0.HOG0001938	OG0001682	n0	LOC126928821	LOC117209430	LOC122571606	LOC100649218
N0.HOG0001939	OG0001683	n0	LOC126928793	LOC117209368	LOC122571598	LOC100649338
N0.HOG0001940	OG0001684	n0	LOC126928825	LOC117209369	LOC122571608	LOC100651531
N0.HOG0001941	OG0001685	n0	LOC126928804	LOC117209400	LOC122571601	LOC100649457
N0.HOG0001942	OG0001686	n0	LOC126928820	LOC117209457	LOC122571605	LOC100649583
N0.HOG0001943	OG0001687	n0	LOC126928802	LOC117209456	LOC122571602	LOC100649697
N0.HOG0001944	OG0001688	n0	LOC126928801	LOC117209455	LOC122571599	LOC100649815
N0.HOG0001945	OG0001689	n0	LOC126928086	LOC117209359	LOC122571697	LOC105666167
N0.HOG0001946	OG0001690	n0	LOC126928795	LOC117209365	LOC122572075	LOC100650045
N0.HOG0001947	OG0001691	n0	LOC126928805	LOC117209367	LOC122572077	LOC100650162
N0.HOG0001948	OG0001692	n0	LOC126928809	LOC117209446	LOC122572078	LOC100650289
N0.HOG0001949	OG0001693	n0	LOC126928791	LOC117209445	LOC122571488	LOC100650410
N0.HOG0001950	OG0001694	n0	LOC126928823	LOC117209447	LOC122571489	LOC100650532
N0.HOG0001951	OG0001695	n0	LOC126927395	LOC117209402	LOC122572084	LOC100650776
N0.HOG0001952	OG0001696	n0	LOC126927398	LOC117209370	LOC122572065	LOC100650891
N0.HOG0001953	OG0001697	n0	LOC126927381	LOC117209440	LOC122571448	LOC100651888
N0.HOG0001954	OG0001698	n0	LOC126927489	LOC117209462	LOC122571297	LOC100649122
N0.HOG0001955	OG0001699	n0	LOC126927457	LOC117209461	LOC122571296	LOC100651012
N0.HOG0001956	OG0001700	n0	LOC126927447	LOC117209460	LOC122571295	LOC100652006
N0.HOG0001957	OG0001701	n0	LOC126927523	LOC117209464	LOC122571298	LOC100651210
N0.HOG0001958	OG0001702	n0	LOC126914634	LOC117212046	LOC122567162	LOC100648671
N0.HOG0001959	OG0001703	n0	LOC126914629	LOC117212045	LOC122567161	LOC100648550
N0.HOG0001960	OG0001704	n0	LOC126914631	LOC117204216	LOC122566577	LOC100650434
N0.HOG0001961	OG0001705	n0	LOC126914633	LOC117204219	LOC122566579	LOC100648051
N0.HOG0001962	OG0001706	n0	LOC126914627	LOC117204215	LOC122566576	LOC100647928
N0.HOG0001963	OG0001707	n0	LOC126914632	LOC117204218	LOC122566578	LOC100648241
N0.HOG0001964	OG0001708	n0	LOC126914626	LOC117204214	LOC122566575	LOC100647494
N0.HOG0001965	OG0001709	n0	LOC126914638	LOC117204088	LOC122566585	LOC100647373
N0.HOG0001966	OG0001710	n0	LOC126914635	LOC117204083	LOC122566581	LOC100647255
N0.HOG0001967	OG0001711	n0	LOC126914637	LOC117204086	LOC122566584	LOC100647138
N0.HOG0001968	OG0001712	n0	LOC126914636	LOC117204084	LOC122566582	LOC100647016
N0.HOG0001969	OG0001713	n0	LOC126914977	LOC117204085	LOC122566583	LOC100646859
N0.HOG0001970	OG0001714	n0	LOC126914976	LOC117204079	LOC122566574	LOC100650316
N0.HOG0001971	OG0001715	n0	LOC126914951	LOC117204082	LOC122566580	LOC100646653
N0.HOG0001972	OG0001716	n0	LOC126914953	LOC117204087	LOC122566507	LOC100646532
N0.HOG0001973	OG0001717	n0	LOC126914948	LOC117204080	LOC122566499	LOC100646406
N0.HOG0001974	OG0001718	n0	LOC126914950	LOC117204081	LOC122566504	LOC100645983
N0.HOG0001975	OG0001719	n0	LOC126914550	LOC117204026	LOC122566495	LOC100645187
N0.HOG0001976	OG0001720	n0	LOC126914551	LOC117204027	LOC122566494	LOC100645748
N0.HOG0001977	OG0001721	n0	LOC126914549	LOC117204025	LOC122566496	LOC100645438
N0.HOG0001978	OG0001722	n0	LOC126914561	LOC117204029	LOC122566506	LOC100645867
N0.HOG0001979	OG0001723	n0	LOC126914558	LOC117204028	LOC122566502	LOC100645626
N0.HOG0001980	OG0001724	n0	LOC126914560	LOC117204234	LOC122566503	h1
N0.HOG0001981	OG0001725	n0	LOC126914552	LOC117204231	LOC122566498	LOC100644957
N0.HOG0001982	OG0001726	n0	LOC126914555	LOC117204233	LOC122566500	LOC100650061
N0.HOG0001983	OG0001727	n0	LOC126914548	LOC117204230	LOC122566492	LOC100644840
N0.HOG0001984	OG0001728	n0	LOC126914566	LOC117204103	LOC122566833	LOC105665650
N0.HOG0001985	OG0001729	n0	LOC126914568	LOC117204118	LOC122566835	LOC100644515
N0.HOG0001986	OG0001730	n0	LOC126914569	LOC117204119	LOC122566836	LOC100644714
N0.HOG0001987	OG0001731	n0	LOC126914562	LOC117204113	LOC122566828	LOC100650071
N0.HOG0001988	OG0001732	n0	LOC126914567	LOC117204117	LOC122566834	LOC100644325
N0.HOG0001989	OG0001733	n0	LOC126914556	LOC117204110	LOC122566825	LOC100644206
N0.HOG0001990	OG0001734	n0	LOC126914565	LOC117204116	LOC122566832	LOC100644090
N0.HOG0001991	OG0001735	n0	LOC126914563	LOC117204114	LOC122566829	LOC100643970
N0.HOG0001992	OG0001736	n0	LOC126914554	LOC117204109	LOC122566824	LOC100643728
N0.HOG0001993	OG0001737	n0	LOC126914564	LOC117204115	LOC122566831	LOC100643846
N0.HOG0001994	OG0001738	n0	LOC126914557	LOC117204111	LOC122566826	LOC100643605
N0.HOG0001995	OG0001739	n0	LOC126914559	LOC117204112	LOC122566827	LOC100643479
N0.HOG0001996	OG0001740	n0	LOC126914570	LOC117204120	LOC122566837	LOC100643358
N0.HOG0001997	OG0001741	n0	LOC126914547	LOC117204121	LOC122566823	LOC100649955
N0.HOG0001998	OG0001742	n0	LOC126914535	LOC117204074	LOC122567208	LOC100643034
N0.HOG0001999	OG0001743	n0	LOC126914506	LOC117204070	LOC122567202	LOC100642919
N0.HOG0002000	OG0001744	n0	LOC126914533	LOC117204073	LOC122567206	LOC100642799
N0.HOG0002001	OG0001745	n0	LOC126914525	LOC117204071	LOC122567203	LOC100642442
N0.HOG0002002	OG0001746	n0	LOC126914532	LOC117204072	LOC122567205	LOC100642560
N0.HOG0002003	OG0001747	n0	LOC126914504	LOC117204065	LOC122567201	LOC100642320
N0.HOG0002004	OG0001748	n0	LOC126914519	LOC117204097	LOC122567151	LOC100642198
N0.HOG0002005	OG0001749	n0	LOC126914503	LOC117204294	LOC122567143	LOC100649725
N0.HOG0002006	OG0001750	n0	LOC126914528	LOC117204180	LOC122567154	LOC100652226
N0.HOG0002007	OG0001751	n0	LOC126914501	LOC117204173	LOC122567152	LOC100652110
N0.HOG0002008	OG0001752	n0	LOC126914523	LOC117204176	LOC122567153	LOC100651989
N0.HOG0002009	OG0001753	n0	LOC126914517	LOC117204165	LOC122567148	LOC100651635
N0.HOG0002010	OG0001754	n0	LOC126914510	LOC117204152	LOC122567145	LOC100651319
N0.HOG0002011	OG0001755	n0	LOC126914534	LOC117204185	LOC122567155	LOC100651873
N0.HOG0002012	OG0001756	n0	LOC126914512	LOC117204157	LOC122567147	LOC100651752
N0.HOG0002013	OG0001757	n0	LOC126914507	LOC117204149	LOC122567144	LOC100651517
N0.HOG0002014	OG0001758	n0	LOC126914518	LOC117204168	LOC122567150	LOC105665646
N0.HOG0002015	OG0001759	n0	LOC126914511	LOC117204156	LOC122567146	LOC100651073
N0.HOG0002016	OG0001760	n0	LOC126914536	LOC117204186	LOC122566696	LOC105665644
N0.HOG0002017	OG0001761	n0	LOC126914522	LOC117204174	LOC122566692	LOC100650721
